speaker,timestamp,words
Morgan Smith,0:00,And we are recording.
Morgan Smith,0:02,Great.
Morgan Smith,0:03,"All right, so I'm just going to kind of read off a quick script. Thank you so much for being interviewed! The following interview was conducted with Robert Killion on behalf of the Georgia Dental Project. It took place on July 21st, 2025 via WebEx. I'm Morgan Smith, the interviewer. And before we start the interview, I just want to confirm for the record that the legal release form was completed and sent to us and that everything is good on that front."
Rob Killion,0:26,Yes.
Morgan Smith,0:27,"All right, great. All right, so then could you just briefly introduce yourself, who you are, what you do now, what you did on campus, when you were now?"
Rob Killion,0:37,"Yeah, I'm Rob Killion. At the time I was on campus, I was executive director, or rather, president of the Grinnell College Student Body. And during the time when Georgia Dental was still handling concerts. "
Morgan Smith,0:58,Yeah.
Rob Killion,0:59,Is that proper?
Morgan Smith,1:00,"That's good, yeah."
Morgan Smith,1:02,All right.
Morgan Smith,1:03,"And just kind of going to run through some intro questions. So like, how did you end up at Grinnell or like what interested you about the college as you were kind of going there to start with?"
Rob Killion,1:13,"Yeah, so I would you know what? I'm gonna use the restroom. I'll be right back."
Morgan Smith,1:19,All right.
Rob Killion,1:38,"...That is so much better. I'll just live with it. So my grandparents both worked for the college. My paternal grandparents, my grandpa worked in the old physical education complex. And my grandma was what was called a maid in Mears Cottage. And so, growing up, I was a first-generation college student. And growing up, I had all when I thought of college, I always thought of Grinnell College. And then by the time I was actually old enough to think about college, I knew more about Grinnell as a real institution. And luckily, my academic profile fit the bill, and I was still excited about going. I wasn't from Grinnell, but I was from just up the road in Marshall County. And so yeah, everything fell into place. And luckily, because Grinnell had wonderful need-based financial aid, and it still does, I was able to attend."
Morgan Smith,2:46,"Yeah, great. Yeah, that sounds pretty familiar personally."
Morgan Smith,2:51,"Could you describe any like memorable moments that you had at Grinnell, just kind of thinking back, you know? Is there anything that really stands out? I know, of course, there's the Georgia situa- bleh.. there's the Georgia situation which we'll get into."
Rob Killion,3:04,"Yep. Oh man, so many. Late 80s, let's see what stands out. The highlight. Highlights are the same as the material. The Kiss-In, you may have heard of that. That was when two women who were first-year students wanted to take advantage of the exception to the housing policy where married students could live off campus before their junior year. And they were married by the Herrick chaplain, Dennis Haas. Obviously, it wasn't legal at the time. But the college didn't want to let them live off campus because it wasn't a legal marriage. And this is like late 80s. So there were all sorts of protests that spring. About that discriminatory policy, including during new- admitted student receptions when admitted students would come to campus and get a look during the- during one of the admitted student receptions, basically, while the President was talking, students circled the forum lounge where the guests were and basically had a same-sex kiss-in while it was going on. That got a lot of attention, went in the Des Moines register. There was the- what was it called? The black students had a- oh I wish I could think of what the name was. They basically had an open forum where they really wanted to get off their chest some of their frustrations, what we would now call microaggressions, but that was decades before. -what it was like to be a black student on campus. Oh, you know, we're going to hang up, and I'm going to think of what it was called. That was a highlight. It was the end of relays. I don't know if you've ever heard about relays, but relays was a huge tradition at Grinnell for years and years and years, but then heavy drinking, games drinking. It was led by Wayne Moyer, professor of history, he was the honorary sort of head of it. But the year I came was the first year without relays because the drinking age changed from 21 to 18. And the college, understandably, thought it would be incredibly, there would be a lot of liability to continue having all of this free-flowing alcohol on campus with only seniors essentially eligible to drink. And so that's when Peace Day started. I don't know if that still exists as a replacement. And then Earth, I think Peace Day sort of morphed into Earth Day. And anyway, that's when that whole transition occurred. So those are three things I remember."
Morgan Smith,6:24,"Yeah definitely, relays are actually back, they're a thing on campus now today and Moyer at least up until recently was still leading- heading up that charge. "
Rob Killion,6:37,"My goodness, how old would he be?"
Morgan Smith,6:41,"I don't know, but I know he recently- he recently- he recently became a he recently became a professor emeriti. So I think he may be transitioning out of that now."
Rob Killion,6:58,Fantastic.
Morgan Smith,6:59,"Yeah. And then kind of moving a little bit more towards concerts. Do you have any kind of striking memories of like going to concerts? Or of course, I know you were on SGA, maybe helping organizing them, things like that?"
Rob Killion,7:12,"No, you know, I mean, I did go to concerts. I did go to some concerts, but I wasn't a big concert guy. I was, I- my interests were elsewhere other than live music. But yes, I went to concerts, but that wasn't a great interest of mine. Though I do remember, what are they called? A Tribe Called Quest. That was a big memory of mine when they were on campus. That was really something. And Soul Asylum was there. Definitely went to that. So there were a few that I remember, but no, I wasn't a big concerts guy."
Morgan Smith,7:54,"Yeah, so then how did you kind of meet Georgia or get involved in the Georgia Dentel situation? I know that that was a big kind of theme throughout, especially the second half of your college career and working in SGA, yeah."
