speaker,timestamp,words
Morgan Smith,0:00,"All right. So thank you so much for being interviewed. We're so happy to have you interviewing with us. I'm just going to do a little bit of housekeeping. The following
interview was conducted with Dr. Jim Kissane on behalf of the Georgia Dental Project for the Grinnell Concerts, Georgia Dental and Student Life in History and Memory
Project. It took place on June 25th, 2025 via phone call. I'm Morgan Smith, the interviewer."
Morgan Smith,0:24,"And before we properly start the interview, I just want to confirm for the record that the legal release form was completed and sent off to us."
James Kissane,0:35,"Morgan, you've got to talk a little bit slower, I'm afraid."
Morgan Smith,0:39,"I just wanted to confirm that you had sent the legal release to us, just for the record."
James Kissane,0:48,Say again?
Morgan Smith,0:49,"I just wanted to confirm that the legal release form had been sent to us, just for the record."
James Kissane,0:54,"Yes. Oh, yes. Perfectly."
Morgan Smith,0:57,Yes.
James Kissane,0:57,Perfectly agreeable to that.
Morgan Smith,1:01,"All right. So could you please introduce yourself? What is your name, your class year, your role, your former role at the college, and where do you live now?"
James Kissane,1:12,My name is James Kissane. I- What was the rest I was supposed to come up with Morgan?
Morgan Smith,1:22,"Class year, you're an alum, right?"
James Kissane,1:26,"What did you... I'm a graduate of Grinnell College from the year 1952. I've been a member of the faculty from 1956 to, well, it's a little bit hard to count it because some of that time I was here in Athens, Georgia, but I was officially still in the employ of Grinnell College, finishing up some work that I was doing."
Morgan Smith,2:03,I see.
Morgan Smith,2:06,"And then could you describe what your role in relation to, like, concerts and student life was on campus? Just briefly."
James Kissane,2:14,"Well, a number of times I served on a committee that was made up largely with faculty people and helped Georgia Dental and others with the selection and all the other responsibilities that go with bringing works, mostly musical events, concerts and the like to the college. I don't remember whether that might have included something like a theatrical production. It seems to me that was at times part of what we worked with, part of what was called public events. There were, as I recall it, there were really two branches of that. One was mostly in the hands of student members and the other was not exclusively faculty, I think. I think we had a contribution from student members, but it was known as a public events committee in the times that I served on it. And I did a number of different years."
Morgan Smith,3:55,"Yeah. We're just kind of going through some kind of contextual things. Do you have any moments that you could think of that would be one of your favorite parts of your time at Grinnell, if there's any big standout you can think of?"
James Kissane,4:13,[Beep] Was that somebody trying to get on?
Morgan Smith,4:16,I don't think so. I'm not sure what it was.
James Kissane,4:21,"Well, I'm talking to you through my cell phone, and there may be an interruption, but we'll hope not. Now, some of my favorite memories of my service on the Public Events Committee."
Morgan Smith,4:36,"Just at Grinnell, but you're certainly welcome to focus on the committee if you'd like."
James Kissane,4:42,"Well, I certainly have one because it had lots of aspects. And that was the time that Georgia and the person who helped her sort of buttoned down the contract arrangements, someone whose name was Mariedi Anders, as I remember. She wasn't an employee of the college, but she worked out of, I think, someplace in the San Francisco area. But her name, Mariedi Anders, you should probably check that to make sure of how it's spelled and so on."
Morgan Smith,5:25,"Yeah, I believe you mentioned in your letter to Georgia that she sent us."
James Kissane,5:31,"Maybe I've got it right in that letter that I sent to Georgia years ago. But you've seen that, and I think I sent it to Sarah- Sarah Purcell."
